期权代码,交易日期,期权收盘价,期权交易量,期权交易额,期权名称,看涨看跌类型,执行价格,到期日,上市日期,退市日期,上证50ETF价格,上证50ETF日度收益率,无风险收益率（shibor),剩余到期时间（年）
10008352.SH,20241025,0.1105,2016.0,236.3601,华泰柏瑞沪深300ETF期权2506认沽3.60,P,3.6,2025-06-25,20241025,20250625,2.793,0.1434,1.947,0.6657534246575343
10008351.SH,20241025,0.5918,21.0,12.75,华泰柏瑞沪深300ETF期权2506认购3.60,C,3.6,2025-06-25,20241025,20250625,2.793,0.1434,1.947,0.6657534246575343
10008350.SH,20241025,0.2697,10.0,2.697,易方达上证科创板50ETF期权2506认沽1.20,P,1.2,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008349.SH,20241025,0.2453,0.0,0.0,易方达上证科创板50ETF期权2506认沽1.15,P,1.15,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008348.SH,20241025,0.209,0.0,0.0,易方达上证科创板50ETF期权2506认沽1.10,P,1.1,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008347.SH,20241025,0.1715,274.0,46.2221,易方达上证科创板50ETF期权2506认沽1.05,P,1.05,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008346.SH,20241025,0.1368,96.0,13.45,易方达上证科创板50ETF期权2506认沽1.00,P,1.0,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008345.SH,20241025,0.1083,73.0,7.9889,易方达上证科创板50ETF期权2506认沽0.95,P,0.95,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008344.SH,20241025,0.0853,50.0,4.25,易方达上证科创板50ETF期权2506认沽0.90,P,0.9,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008343.SH,20241025,0.0577,952.0,60.2948,易方达上证科创板50ETF期权2506认沽0.85,P,0.85,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008342.SH,20241025,0.0396,909.0,38.7755,易方达上证科创板50ETF期权2506认沽0.80,P,0.8,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008341.SH,20241025,0.0994,1739.0,186.5667,易方达上证科创板50ETF期权2506认购1.20,C,1.2,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008340.SH,20241025,0.1082,232.0,25.5811,易方达上证科创板50ETF期权2506认购1.15,C,1.15,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008339.SH,20241025,0.1201,278.0,38.5633,易方达上证科创板50ETF期权2506认购1.10,C,1.1,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008338.SH,20241025,0.1333,143.0,21.4763,易方达上证科创板50ETF期权2506认购1.05,C,1.05,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008337.SH,20241025,0.1493,164.0,27.3501,易方达上证科创板50ETF期权2506认购1.00,C,1.0,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008336.SH,20241025,0.1773,123.0,23.179,易方达上证科创板50ETF期权2506认购0.95,C,0.95,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008335.SH,20241025,0.193,331.0,66.6005,易方达上证科创板50ETF期权2506认购0.90,C,0.9,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008334.SH,20241025,0.223,48.0,11.3232,易方达上证科创板50ETF期权2506认购0.85,C,0.85,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008333.SH,20241025,0.2521,120.0,29.9563,易方达上证科创板50ETF期权2506认购0.80,C,0.8,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008332.SH,20241025,0.3028,457.0,139.3281,华夏上证科创板50ETF期权2506认沽1.25,P,1.25,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008331.SH,20241025,0.2623,92.0,24.3333,华夏上证科创板50ETF期权2506认沽1.20,P,1.2,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008330.SH,20241025,0.2278,45.0,10.2407,华夏上证科创板50ETF期权2506认沽1.15,P,1.15,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008329.SH,20241025,0.1901,63.0,12.0045,华夏上证科创板50ETF期权2506认沽1.10,P,1.1,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008328.SH,20241025,0.155,179.0,28.3459,华夏上证科创板50ETF期权2506认沽1.05,P,1.05,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008327.SH,20241025,0.1183,374.0,46.1704,华夏上证科创板50ETF期权2506认沽1.00,P,1.0,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008326.SH,20241025,0.0941,295.0,29.8175,华夏上证科创板50ETF期权2506认沽0.95,P,0.95,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008325.SH,20241025,0.0673,840.0,63.7277,华夏上证科创板50ETF期权2506认沽0.90,P,0.9,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
10008324.SH,20241025,0.0499,1637.0,86.3821,华夏上证科创板50ETF期权2506认沽0.85,P,0.85,2025-06-25,20241024,20250625,2.793,0.1434,1.947,0.6657534246575343
